"laptop","Brother Printer Toner","Belkin Mouse Pad","VGA Monitor Cable","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dell Desktop","Lenovo Desktop Computer","Apple Wireless Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iMac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acer Desktop","Lenovo Desktop Computer"," Intel Desktop ","XIBERIA Gaming Headset","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","iMac","Epson Black Ink","ASUS Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iMac","ASUS Monitor","Lenovo Desktop Computer","Mackie CR Speakers","Gaming Mouse Professional","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CYBERPOWER Gamer Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","Bose Companion Speakers","CYBERPOWER Gamer Desktop","laptop","Large Mouse Pad","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iMac","Generic Black 3-Button","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dell Desktop","laptop","AOC Monitor","Apple MacBook Pro","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","Dell Desktop","iMac","ASUS Monitor","ASUS 2 Monitor","Lenovo Desktop Computer","Rii LED Gaming Keyboard & Mouse Combo ","Apple MacBook Pro","JBL Splashproof Portable Bluetooth Speaker","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS Chromebook","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Acer Monitor","CYBERPOWER Gamer Desktop","Apple Earpods","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP Wireless Mouse","Dell Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS Monitor","Dell Desktop","HP Monitor","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech Wireless Mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Alienware Laptop","3-Button Mouse","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"iMac","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dell Desktop"," Intel Desktop ","Dell Wired Keyboard","Zombie Gaming Headset","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Dell Desktop","ViewSonic Monitor","laptop","Logitech Keyboard","CYBERPOWER Gamer Desktop","Rii LED Gaming Keyboard & Mouse Combo ","Fire TV Stick","Slim Wireless Mouse","Wireless Portable Mouse","iPad","1TB Portable External Hard Drive","","","","","","","","","","","","","","","","","","","","",""
"Apple MacBook Pro","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lenovo Desktop Computer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Samsung Monitor","CYBERPOWER Gamer Desktop","Apple Earpods","laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Logitech 3-button Mouse","Apple Earpods","HP Monitor","laptop","Backlit LED Gaming Keyboard","Microsoft Wireless Desktop Keyboard and Mouse","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Lenovo Desktop Computer","Slim 2TB Portable External Hard Drive","Apple MacBook Pro","HP Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eluktronics Pro Gaming Laptop","laptop","CYBERPOWER Gamer Desktop","laptop","Apple MacBook Pro","Brother Printer","iPad Pro ","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewSonic Monitor","laptop","iMac","Slim 2TB Portable External Hard Drive","Dell Desktop","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LG Monitor","Dell 2 Desktop","laptop","iMac","Apple Magic Keyboard","Microsoft Office Home and Student 2016","Apple Earpods","Gaming Mouse Professional","","","","","","","","","","","","","","","","","","","","","","","",""
"ASUS Chromebook","Logitech MK270 Wireless Keyboard and Mouse Combo","Zombie Gaming Headset","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3-Button Mouse","Apple Earpods","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HP Monitor","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ViewSonic Monitor","laptop","iMac","HP Wireless Printer","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"laptop","3TB Portable External Hard Drive","Backlit LED Gaming Keyboard","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
